StockCode,Description,SETS,Colors,Material,Design,Jewelry,Household,MISC,TotalSales,Quantity,UnitPrice,Price_Category,Sales_Frequency
10002,INFLATABLE POLITICAL GLOBE ,0,0,0,0,0,1,0,759.89,1040,1.07,cheap,reg_seller
10080,GROOVY CACTUS INFLATABLE,0,0,0,0,0,1,0,119.09,495,0.38,cheap,warm
10120,DOGGY RUBBER,0,0,0,1,0,0,0,40.53,193,0.21,cheap,warm
10123C,HEARTS WRAPPING TAPE ,0,0,0,1,0,0,0,3.25,5,0.65,cheap,cold
10124A,SPOTS ON RED BOOKCOVER TAPE,0,1,0,0,0,1,0,6.72,16,0.42,cheap,cold
10124G,ARMY CAMO BOOKCOVER TAPE,0,0,0,0,0,0,1,7.14,17,0.42,cheap,cold
10125,MINI FUNKY DESIGN TAPES,0,0,0,1,0,0,0,994.84,1296,0.86,cheap,reg_seller
10133,COLOURING PENCILS BROWN TUBE,0,0,0,0,1,0,0,1544.22,2867,0.65,cheap,reg_seller
11001,ASSTD DESIGN RACING CAR PEN,0,0,0,1,0,0,0,2389.44,1615,1.89,cheap,reg_seller
15030,FAN BLACK FRAME ,0,1,0,0,0,0,0,41.47,293,0.27,cheap,warm
15034,PAPER POCKET TRAVELING FAN ,0,0,1,0,0,0,0,840.0200000000001,6591,0.37,cheap,hot
15036,ASSORTED COLOURS SILK FAN,1,0,0,0,0,0,0,18569.84,23826,1.07,cheap,best_seller
15039,SANDALWOOD FAN,0,0,1,0,0,0,0,1979.49,2091,1.24,cheap,reg_seller
15044A,PINK PAPER PARASOL ,0,1,1,0,0,0,0,1456.72,464,3.66,cheap,warm
15044B,BLUE PAPER PARASOL ,0,1,1,0,0,0,0,946.83,321,3.51,cheap,warm
15044C,PURPLE PAPER PARASOL,0,1,1,0,0,0,0,1025.94,314,3.84,cheap,warm
15044D,RED PAPER PARASOL,0,1,1,0,0,0,0,1822.71,645,3.33,cheap,warm
15056BL,EDWARDIAN PARASOL BLACK,0,1,0,0,0,0,0,15828.84,2844,6.43,medium,reg_seller
15056N,EDWARDIAN PARASOL NATURAL,0,0,0,0,0,0,1,22176.49,3954,6.94,medium,reg_seller
15056P,EDWARDIAN PARASOL PINK,0,1,0,0,0,0,0,4366.820000000001,778,6.35,medium,warm
15058A,BLUE POLKADOT GARDEN PARASOL,0,1,0,1,0,1,0,1668.49,220,9.11,medium,warm
15058B,PINK POLKADOT GARDEN PARASOL,0,1,0,1,0,1,0,1885.27,228,9.89,medium,warm
15058C,ICE CREAM DESIGN GARDEN PARASOL,0,0,0,1,0,1,0,1429.82,240,9.33,medium,warm
15060B,FAIRY CAKE DESIGN UMBRELLA,0,0,0,1,0,1,0,1807.55,460,4.96,cheap,warm
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0,0,0,0,0,0,1,360.71,2892,0.14,cheap,reg_seller
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0,0,0,0,0,0,1,3.6,30,0.12,cheap,cold
16011,ANIMAL STICKERS,0,0,0,1,0,0,0,372.33,1773,0.21,cheap,reg_seller
